Substantiv;der;Schinken;;šunka;/
Substantiv;die;Teigwaren;;tjestenina;/
Substantiv;das;Öl;;ulje;/
Substantiv;das;Gewürz;;začin;/
Substantiv;der;Pfirsch;;breskva;/
Substantiv;die;Melone;;dinja;/
Substantiv;die;Trauben;;grožđe;/
Substantiv;der;Apfel;;jabuka;/
Substantiv;die;Erdbeere;;jagoda;/
Substantiv;die;Aprikose;;marelica;/
Substantiv;die;Birne;;kruška;/
Substantiv;die;Zitrone;;limun;/
Substantiv;die;Wassermelone;;lubenica;/
Substantiv;die;Orange;;naranča;/
Substantiv;die;Mandel;;badem;/
Substantiv;die;Haselnuß;;lješnjak;/
Substantiv;die;Wahlnuß;;orah;/
Substantiv;der;Knoblauch;;češnjak;/
Substantiv;die;rote Bete;;cikla;/
Substantiv;die;Zwiebel;;luk;/
Substantiv;die;Erbste;;grašak;/
Substantiv;die;Gurke;;krastavac;/
Substantiv;die;Kartoffel;;krumpir;/
Substantiv;das;Kraut;;kupus;/
Substantiv;die;Möhre;;mrkva;/
Substantiv;der;Paprika;;paprika;/
Substantiv;die;Tomate;;rajčica;/
Substantiv;der;Rasierapparat;;aparat za brijanje;/
Substantiv;der;Kamm;;češalj;/
Substantiv;die;Haarbürste;;četka za kosu;/
Substantiv;die;Zahnbürste;;četkica za zube;/
Substantiv;die;Rasiercreme;;krema za brijanje;/
Substantiv;die;Zahnpaste;;pasta za zube;/
Substantiv;die;Seife;;sapun;/
Substantiv;das;Haarschampoo;;šampon za kosu;/
Substantiv;das;Kleidungsstück;;odjevni predmet;/
Substantiv;das;Schuhwerk;;obuća;/
Substantiv;die;Unterwäsche;;donje rublje;/
Substantiv;der;Schuh;;cipela;/
Substantiv;der;Strümpf;;čarapa;/
Substantiv;die;Stiefel;;čizme;/
Substantiv;der;Pullover;;džemper;/
Substantiv;die;Hose;;hlače;/
Substantiv;die;Jacke;;jakna;/
Substantiv;der;Mantel;;kaput;/
Substantiv;die;Hausschuhe;;papuče;/
Substantiv;der;Schlafanzug;;pidžama;/
Substantiv;das;Unterhemd;;potkošulja;/
Substantiv;die;Handschuhe;;rukavice;/
Substantiv;der;Hut;;šešir;/
Substantiv;der;Slip;;gaćice;/
Substantiv;der;Büstenhalter;;grudnjak;/
Substantiv;das;Kleid;;haljina;/
Substantiv;das;Nachthemd;;spavaćica;/
Substantiv;der;Rock;;suknja;/
Substantiv;das;Hemd;;košulja;/
Substantiv;die;Krawatte;;kravata;/
Substantiv;der;Herrenanzug;;muško odijelo;/
Substantiv;die;Weste;;prsluk;/
Substantiv;der;Sakko;;jakna;/
Substantiv;die;Halskette;;lančić;/
Substantiv;das;Armband;;narukvica;/
Substantiv;der;Ohrring;;naušnica;/
Substantiv;das;Halsband;"<-(e)s; Halsbänder>";ovratnik;/
Substantiv;der;Ring;;prsten;/
Substantiv;der;Trauring;;vjenčani prsten;/
Substantiv;das;Heft;;bilježnica;/
Substantiv;das;Buch;;knjiga;/
Substantiv;die;Kreide;;kreda;/
Substantiv;der;Bleistift;;olovka;/
Substantiv;die;Grundschule;;osnovna škola;/
Substantiv;die;Klasse;;razred;/
Substantiv;der;Tafelschwamm;;spužva za ploču;/
Substantiv;die;Tafel;;školska ploča;/
Substantiv;das;Schulfach;;školski predmet;/
Substantiv;die;Schülerin;;učenica;/
Substantiv;der;Schüler;;učenik;/
Substantiv;das;Klassenzimmer;;učionica;/
Substantiv;der;Lehrer;;učitelj;/
Substantiv;die;Lehrerin;;učiteljica;/
Substantiv;das;Gymnasium;;gimnazija;/
Substantiv;das;Arbitur;;matura;/
Substantiv;der;Arbiturient;;maturant;/
Substantiv;die;Mittelschule;;srednja škola;/
Substantiv;die;Berufsschule;;strukovna škola;/
Substantiv;die;Fakultät;"<Fakultät; -en>";fakultet;/
Substantiv;die;Prüfung;;ispit;/
Substantiv;die;Vorlesung;;predavanje;/
Substantiv;der;Hörsaal;;predavaonica;/
Substantiv;der;Student;;student;/
Substantiv;die;Studentin;;studentica;/
Substantiv;die;Universität;;sveučilište;/
Substantiv;der;Direktor;;direktor;/
Substantiv;der;Arbeitstisch;;radni stol;/
Substantiv;der;Sachbearbeiter;;referent;/
Substantiv;der;Beamte;;državni službenik;/
Substantiv;die;Beamtin;;državna službenica;/
Substantiv;der;Kunde;;klijent;/
Substantiv;der;Chef;;šef;/
Substantiv;der;Leiter;;direktor;/
Substantiv;die;Sekretärin;;tajnica;/
Substantiv;der;Urlaub;;odmor;/
Substantiv;die;Kündigung;;otkaz;/
Substantiv;das;Gehalt;;plaća;/
Substantiv;die;Arbeit;;posao;/
Substantiv;die;Geschäftssitzung;;poslovni sastanak;/
Substantiv;die;Geschäftsreise;;poslovni put;/
Substantiv;der;Bankier;;bankar;/
Substantiv;die;Krankenschwester;;bolničarka;/
